Ref,Val,Package,PosX,PosY,Rot,Side
"C111","470n","C_0402_1005Metric",226.250000,-59.000000,90.000000,bottom
"C115","DNP","C_0402_1005Metric",151.500000,-103.750000,180.000000,bottom
"C117","DNP","C_0402_1005Metric",151.400000,-97.250000,180.000000,bottom
"C122","470n","C_0402_1005Metric",60.600000,-81.800000,270.000000,bottom
"C123","10µ","C_0805_2012Metric",65.300000,-100.662500,270.000000,bottom
"C124","10µ","C_0805_2012Metric",60.600000,-87.100000,270.000000,bottom
"C125","10µ","C_0805_2012Metric",60.600000,-90.537500,90.000000,bottom
"C127","10n","C_0402_1005Metric",63.715000,-88.800000,0.000000,bottom
"C128","10n","C_0402_1005Metric",63.715000,-94.300000,0.000000,bottom
"C129","10n","C_0402_1005Metric",72.800000,-85.700000,90.000000,bottom
"C130","10n","C_0402_1005Metric",63.800000,-91.300000,0.000000,bottom
"C131","10n","C_0402_1005Metric",65.200000,-97.100000,90.000000,bottom
"C138","4.7µ","C_0603_1608Metric",81.000000,-105.500000,180.000000,bottom
"C139","4.7µ","C_0603_1608Metric",89.987500,-100.500000,0.000000,bottom
"C140","470n","C_0402_1005Metric",81.000000,-104.200000,0.000000,bottom
"C141","100n","C_0402_1005Metric",87.815000,-103.600000,180.000000,bottom
"C144","10n","C_0201_0603Metric",84.915000,-107.400000,0.000000,bottom
"C145","10n","C_0201_0603Metric",87.200000,-105.615000,90.000000,bottom
"C146","10n","C_0201_0603Metric",85.015000,-109.900000,0.000000,bottom
"C148","10n","C_0201_0603Metric",90.900000,-108.900000,180.000000,bottom
"C149","10n","C_0201_0603Metric",90.200000,-111.585000,90.000000,bottom
"C150","10n","C_0201_0603Metric",89.900000,-105.600000,270.000000,bottom
"C152","10n","C_0201_0603Metric",85.700000,-111.600000,90.000000,bottom
"C153","10n","C_0201_0603Metric",87.800000,-111.600000,90.000000,bottom
"C154","10n","C_0201_0603Metric",84.885000,-105.900000,0.000000,bottom
"C155","10n","C_0201_0603Metric",90.000000,-103.600000,0.000000,bottom
"C157","10n","C_0201_0603Metric",84.400000,-112.100000,270.000000,bottom
"C158","10n","C_0201_0603Metric",86.700000,-113.700000,270.000000,bottom
"C159","470n","C_0402_1005Metric",91.900000,-110.900000,0.000000,bottom
"C160","10n","C_0201_0603Metric",86.700000,-111.600000,90.000000,bottom
"C161","4.7µ","C_0603_1608Metric",80.812500,-113.000000,180.000000,bottom
"C162","470n","C_0402_1005Metric",93.100000,-109.200000,270.000000,bottom
"C163","470n","C_0402_1005Metric",90.800000,-106.900000,180.000000,bottom
"C165","4.7µ","C_0603_1608Metric",80.812500,-109.500000,0.000000,bottom
"C166","100n","C_0402_1005Metric",69.015000,-74.800000,0.000000,bottom
"C167","100n","C_0402_1005Metric",73.500000,-69.785000,90.000000,bottom
"C169","100n","C_0402_1005Metric",72.300000,-69.785000,90.000000,bottom
"C170","100n","C_0402_1005Metric",88.900000,-105.600000,270.000000,bottom
"C171","100n","C_0402_1005Metric",70.115000,-70.300000,180.000000,bottom
"C173","4.7µ","C_0603_1608Metric",73.012500,-78.000000,0.000000,bottom
